warehouseCode,productCode,quantityInStock,productScale,productline
a,S10_1678,7933,1:10,Motorcycles
a,S32_2206,9241,1:32,Motorcycles
a,S32_1374,178,1:32,Motorcycles
a,S50_4713,600,1:50,Motorcycles
a,S24_2360,6840,1:24,Motorcycles
a,S24_2000,15,1:24,Motorcycles
a,S32_4485,3341,1:32,Motorcycles
a,S24_1578,7003,1:24,Motorcycles
a,S18_3782,7689,1:18,Motorcycles
a,S18_2625,4357,1:18,Motorcycles
a,S10_2016,6625,1:10,Motorcycles
a,S10_4698,5582,1:10,Motorcycles
a,S12_2823,9997,1:12,Motorcycles
a,S700_1691,5841,1:700,Planes
a,S700_2466,9653,1:700,Planes
a,S700_4002,8820,1:700,Planes
a,S700_3167,551,1:72,Planes
a,S700_2834,7106,1:700,Planes
a,S24_4278,2756,1:24,Planes
a,S24_3949,6812,1:24,Planes
a,S24_2841,5942,1:24,Planes
a,S24_1785,3627,1:24,Planes
a,S18_2581,992,1:72,Planes
a,S18_1662,5330,1:18,Planes
a,S72_1253,4857,1:72,Planes
