warehouseCode,productCode,quantityInStock,productScale,productline
b,S10_1949,7305,1:10,"Classic Cars"
b,S18_3685,8990,1:18,"Classic Cars"
b,S18_4027,5545,1:18,"Classic Cars"
b,S18_4721,1249,1:18,"Classic Cars"
b,S18_4933,3209,1:18,"Classic Cars"
b,S24_1046,1005,1:24,"Classic Cars"
b,S24_1444,4074,1:24,"Classic Cars"
b,S24_1628,8197,1:24,"Classic Cars"
b,S24_2766,2350,1:24,"Classic Cars"
b,S24_2840,2542,1:24,"Classic Cars"
b,S24_2887,1452,1:24,"Classic Cars"
b,S24_2972,7723,1:24,"Classic Cars"
b,S24_3191,4695,1:24,"Classic Cars"
b,S24_3371,7995,1:24,"Classic Cars"
b,S24_3432,9446,1:24,"Classic Cars"
b,S24_3856,6600,1:18,"Classic Cars"
b,S24_4048,6582,1:24,"Classic Cars"
b,S24_4620,7869,1:18,"Classic Cars"
b,S18_3482,9127,1:18,"Classic Cars"
b,S18_3278,1917,1:18,"Classic Cars"
b,S10_4757,3252,1:10,"Classic Cars"
b,S10_4962,6791,1:10,"Classic Cars"
b,S12_1099,68,1:12,"Classic Cars"
b,S12_1108,3619,1:12,"Classic Cars"
b,S12_3148,6906,1:18,"Classic Cars"
b,S12_3380,9123,1:12,"Classic Cars"
b,S12_3891,1049,1:12,"Classic Cars"
b,S12_3990,5663,1:12,"Classic Cars"
b,S12_4675,7323,1:12,"Classic Cars"
b,S18_1129,3975,1:18,"Classic Cars"
b,S18_1589,9042,1:18,"Classic Cars"
b,S18_1889,8826,1:18,"Classic Cars"
b,S18_1984,9772,1:18,"Classic Cars"
b,S18_2238,4724,1:18,"Classic Cars"
b,S18_2870,8164,1:18,"Classic Cars"
b,S18_3232,8347,1:18,"Classic Cars"
b,S18_3233,7733,1:18,"Classic Cars"
b,S700_2824,6934,1:18,"Classic Cars"
