warehouseCode,productCode,quantityInStock,productScale,productline
c,S18_1342,8693,1:18,"Vintage Cars"
c,S18_4522,8290,1:18,"Vintage Cars"
c,S18_4668,6645,1:18,"Vintage Cars"
c,S24_1937,7332,1:24,"Vintage Cars"
c,S24_2022,2847,1:24,"Vintage Cars"
c,S24_3151,9173,1:24,"Vintage Cars"
c,S24_3420,2902,1:24,"Vintage Cars"
c,S24_3816,6621,1:24,"Vintage Cars"
c,S24_3969,2081,1:24,"Vintage Cars"
c,S24_4258,4710,1:24,"Vintage Cars"
c,S32_4289,136,1:32,"Vintage Cars"
c,S18_4409,6553,1:18,"Vintage Cars"
c,S18_3856,2378,1:18,"Vintage Cars"
c,S18_1367,8635,1:18,"Vintage Cars"
c,S18_1749,2724,1:18,"Vintage Cars"
c,S18_2248,540,1:18,"Vintage Cars"
c,S18_2325,9354,1:18,"Vintage Cars"
c,S18_2795,548,1:18,"Vintage Cars"
c,S18_2949,4189,1:18,"Vintage Cars"
c,S18_2957,5649,1:18,"Vintage Cars"
c,S18_3136,5992,1:18,"Vintage Cars"
c,S18_3140,3913,1:18,"Vintage Cars"
c,S18_3320,7913,1:18,"Vintage Cars"
c,S50_1341,7062,1:50,"Vintage Cars"
