productCode,warehouseCode,quantityInStock,total_ordered_item,total_revenue,avg_monthly_sales,good_stock_level_sales,avg_monthly_revenue,inventory_status,action
S10_1678,a,7933,1057,90157.77,59,705,5009,Overstocked,Maintain
S12_2823,a,9997,1028,135767.03,57,685,7543,Overstocked,Maintain
S10_2016,a,6625,999,109998.82,56,666,6111,Overstocked,Maintain
S18_2625,a,4357,945,49992.72,53,630,2777,Overstocked,Maintain
S10_4698,a,5582,985,170686.00,55,657,9483,Overstocked,Maintain
S18_1662,a,5330,1040,144959.91,58,693,8053,Overstocked,Maintain
S18_3782,a,7689,959,54024.87,53,639,3001,Overstocked,Maintain
S12_1108,b,3619,1019,190755.86,57,679,10598,Overstocked,Maintain
S18_1889,b,8826,972,66455.62,54,648,3692,Overstocked,Maintain
S18_3232,b,8347,1808,276839.98,100,1205,15380,Overstocked,Maintain
S18_4027,b,5545,945,122254.75,53,630,6792,Overstocked,Maintain
S18_2238,b,4724,986,142530.63,55,657,7918,Overstocked,Maintain
S12_3380,b,9123,925,98718.76,51,617,5484,Overstocked,Maintain
S10_4757,b,3252,1030,127924.32,57,687,7107,Overstocked,Maintain
S18_1589,b,9042,914,101778.13,51,609,5654,Overstocked,Maintain
S12_3990,b,5663,900,63489.95,50,600,3527,Overstocked,Maintain
S18_3685,b,8990,948,121653.46,53,632,6759,Overstocked,Maintain
S24_3856,b,6600,1052,134240.71,58,701,7458,Overstocked,Maintain
S18_4933,b,3209,767,50101.57,43,511,2783,Overstocked,Maintain
S700_2824,b,6934,997,89272.65,55,665,4960,Overstocked,Maintain
S12_4675,b,7323,992,104210.62,55,661,5789,Overstocked,Maintain
S18_1984,b,9772,917,119050.95,51,611,6614,Overstocked,Maintain
S10_1949,b,7305,961,190017.96,53,641,10557,Overstocked,Maintain
S18_1129,b,3975,947,114648.12,53,631,6369,Overstocked,Maintain
S18_2870,b,8164,855,100770.12,48,570,5598,Overstocked,Maintain
S12_3148,b,6906,963,132363.79,54,642,7354,Overstocked,Maintain
S18_3278,b,1917,974,68783.93,54,649,3821,Overstocked,Maintain
S24_4620,b,7869,941,69120.97,52,627,3840,Overstocked,Maintain
S12_3891,b,1049,965,152543.02,54,643,8475,Overstocked,Maintain
S18_3482,b,9127,915,121890.60,51,610,6772,Overstocked,Maintain
S10_4962,b,6791,932,123123.01,52,621,6840,Overstocked,Maintain
S18_4721,b,1249,1013,130749.31,56,675,7264,Overstocked,Maintain
S18_1342,c,8693,1111,102563.52,62,741,5698,Overstocked,Maintain
S18_2949,c,4189,1038,97193.88,58,692,5400,Overstocked,Maintain
S18_4522,c,8290,990,77800.54,55,660,4322,Overstocked,Maintain
S18_3320,c,7913,992,87637.63,55,661,4869,Overstocked,Maintain
S18_4668,c,6645,995,44037.84,55,663,2447,Overstocked,Maintain
S18_1749,c,2724,918,140535.60,51,612,7808,Overstocked,Maintain
S18_3140,c,3913,883,111528.82,49,589,6196,Overstocked,Maintain
S18_3856,c,2378,1076,102537.45,60,717,5697,Overstocked,Maintain
S18_4409,c,6553,866,71526.22,48,577,3974,Overstocked,Maintain
S18_1367,c,8635,960,46078.29,53,640,2560,Overstocked,Maintain
S18_2957,c,5649,985,55172.21,55,657,3065,Overstocked,Maintain
S18_2325,c,9354,957,109992.01,53,638,6111,Overstocked,Maintain
S18_3136,c,5992,907,85328.57,50,605,4740,Overstocked,Maintain
S18_1097,d,2613,999,105563.12,56,666,5865,Overstocked,Maintain
S18_3259,d,6450,918,82617.12,51,612,4590,Overstocked,Maintain
S18_2319,d,8258,1053,117669.66,59,702,6537,Overstocked,Maintain
S18_3029,d,4259,966,74127.24,54,644,4118,Overstocked,Maintain
S18_2432,d,2018,998,55835.30,55,665,3102,Overstocked,Maintain
S12_1666,d,1579,972,119085.25,54,648,6616,Overstocked,Maintain
S18_4600,d,3128,1061,114232.79,59,707,6346,Overstocked,Maintain
S12_4473,d,6125,1056,109946.21,59,704,6108,Overstocked,Maintain
