productCode,warehouseCode,quantityInStock,total_ordered_item,avg_monthly_sales,good_stock_level,inventory_status
S700_1691,a,5841,894,50,596,Overstocked
S32_4485,a,3341,898,50,599,Overstocked
S32_2206,a,9241,906,50,604,Overstocked
S18_2581,a,992,917,51,611,Overstocked
S24_2841,a,5942,940,52,627,Overstocked
S18_2625,a,4357,945,53,630,Overstocked
S24_2360,a,6840,947,53,631,Overstocked
S18_3782,a,7689,959,53,639,Overstocked
S72_1253,a,4857,960,53,640,Overstocked
S24_1785,a,3627,972,54,648,Overstocked
S700_2834,a,7106,973,54,649,Overstocked
S700_2466,a,9653,984,55,656,Overstocked
S10_4698,a,5582,985,55,657,Overstocked
S10_2016,a,6625,999,56,666,Overstocked
S24_4278,a,2756,1009,56,673,Overstocked
S12_2823,a,9997,1028,57,685,Overstocked
S24_1578,a,7003,1033,57,689,Overstocked
S18_1662,a,5330,1040,58,693,Overstocked
S24_3949,a,6812,1051,58,701,Overstocked
S10_1678,a,7933,1057,59,705,Overstocked
S700_4002,a,8820,1085,60,723,Overstocked
