productCode,warehouseCode,quantityInStock,total_ordered_item,avg_monthly_sales,good_stock_level,inventory_status
S18_3233,b,7733,0,0,0,Overstocked
S18_4933,b,3209,767,43,511,Overstocked
S24_1046,b,1005,803,45,535,Overstocked
S18_2870,b,8164,855,48,570,Overstocked
S24_4048,b,6582,867,48,578,Overstocked
S24_3191,b,4695,870,48,580,Overstocked
S24_2887,b,1452,873,49,582,Overstocked
S24_3432,b,9446,894,50,596,Overstocked
S12_3990,b,5663,900,50,600,Overstocked
S24_2972,b,7723,912,51,608,Overstocked
S18_1589,b,9042,914,51,609,Overstocked
S24_1628,b,8197,915,51,610,Overstocked
S18_3482,b,9127,915,51,610,Overstocked
S18_1984,b,9772,917,51,611,Overstocked
S12_3380,b,9123,925,51,617,Overstocked
S10_4962,b,6791,932,52,621,Overstocked
S24_4620,b,7869,941,52,627,Overstocked
S18_4027,b,5545,945,53,630,Overstocked
S18_1129,b,3975,947,53,631,Overstocked
S18_3685,b,8990,948,53,632,Overstocked
S24_2766,b,2350,949,53,633,Overstocked
S10_1949,b,7305,961,53,641,Overstocked
S12_3148,b,6906,963,54,642,Overstocked
S12_3891,b,1049,965,54,643,Overstocked
S24_3371,b,7995,969,54,646,Overstocked
S18_1889,b,8826,972,54,648,Overstocked
S18_3278,b,1917,974,54,649,Overstocked
S24_1444,b,4074,976,54,651,Overstocked
S24_2840,b,2542,983,55,655,Overstocked
S18_2238,b,4724,986,55,657,Overstocked
S12_4675,b,7323,992,55,661,Overstocked
S700_2824,b,6934,997,55,665,Overstocked
S18_4721,b,1249,1013,56,675,Overstocked
S12_1108,b,3619,1019,57,679,Overstocked
S10_4757,b,3252,1030,57,687,Overstocked
S24_3856,b,6600,1052,58,701,Overstocked
S18_3232,b,8347,1808,100,1205,Overstocked
