productCode,warehouseCode,quantityInStock,total_ordered_item,avg_monthly_sales,good_stock_level,inventory_status
S24_3969,c,2081,824,46,549,Overstocked
S18_4409,c,6553,866,48,577,Overstocked
S18_3140,c,3913,883,49,589,Overstocked
S24_3420,c,2902,884,49,589,Overstocked
S18_3136,c,5992,907,50,605,Overstocked
S18_1749,c,2724,918,51,612,Overstocked
S24_3816,c,6621,923,51,615,Overstocked
S24_1937,c,7332,937,52,625,Overstocked
S24_2022,c,2847,955,53,637,Overstocked
S18_2325,c,9354,957,53,638,Overstocked
S18_1367,c,8635,960,53,640,Overstocked
S24_4258,c,4710,983,55,655,Overstocked
S18_2957,c,5649,985,55,657,Overstocked
S18_4522,c,8290,990,55,660,Overstocked
S18_3320,c,7913,992,55,661,Overstocked
S24_3151,c,9173,991,55,661,Overstocked
S18_4668,c,6645,995,55,663,Overstocked
S18_2949,c,4189,1038,58,692,Overstocked
S50_1341,c,7062,1074,60,716,Overstocked
S18_3856,c,2378,1076,60,717,Overstocked
S18_1342,c,8693,1111,62,741,Overstocked
