productCode,warehouseCode,quantityInStock,total_ordered_item,avg_monthly_sales,good_stock_level,inventory_status
S700_3962,d,5088,896,50,597,Overstocked
S700_2047,d,3501,897,50,598,Overstocked
S700_1938,d,737,898,50,599,Overstocked
S32_1268,d,5099,911,51,607,Overstocked
S18_3259,d,6450,918,51,612,Overstocked
S700_1138,d,1897,934,52,623,Overstocked
S32_3207,d,8601,934,52,623,Overstocked
S700_3505,d,1956,952,53,635,Overstocked
S32_2509,d,2874,955,53,637,Overstocked
S50_1514,d,1645,966,54,644,Overstocked
S18_3029,d,4259,966,54,644,Overstocked
S12_1666,d,1579,972,54,648,Overstocked
S50_1392,d,1016,979,54,653,Overstocked
S32_3522,d,814,988,55,659,Overstocked
S18_2432,d,2018,998,55,665,Overstocked
S18_1097,d,2613,999,56,666,Overstocked
S24_2011,d,1898,1011,56,674,Overstocked
S700_2610,d,7083,1020,57,680,Overstocked
S24_2300,d,2327,1029,57,686,Overstocked
S18_2319,d,8258,1053,59,702,Overstocked
S12_4473,d,6125,1056,59,704,Overstocked
S18_4600,d,3128,1061,59,707,Overstocked
