productCode,productName,warehouseCode,quantityInStock,total_ordered_item,total_revenue,avg_monthly_sales,good_stock_level_sales,avg_monthly_revenue,productScale,inventory_status,action
S24_3949,"Corsair F4U ( Bird Cage)",a,6812,1051,62269.67,58,701,3459,1:24,Overstocked,Reduce
S18_2581,"P-51-D Mustang",a,992,917,68741.91,51,611,3819,1:72,Overstocked,Reduce
S700_2466,"America West Airlines B757-200",a,9653,984,89347.80,55,656,4964,1:700,Overstocked,Reduce
S24_2360,"1982 Ducati 900 Monster",a,6840,947,57995.25,53,631,3222,1:24,Overstocked,Reduce
S24_4278,"1900s Vintage Tri-Plane",a,2756,1009,68276.35,56,673,3793,1:24,Overstocked,Reduce
S700_2834,"ATA: B757-300",a,7106,973,102786.38,54,649,5710,1:700,Overstocked,Reduce
S24_1578,"1997 BMW R 1100 S",a,7003,1033,105266.64,57,689,5848,1:24,Overstocked,Reduce
S32_2206,"1982 Ducati 996 R",a,9241,906,33268.76,50,604,1848,1:32,Overstocked,Reduce
S24_1785,"1928 British Royal Navy Airplane",a,3627,972,94885.37,54,648,5271,1:24,Overstocked,Reduce
S700_1691,"American Airlines: B767-300",a,5841,894,73871.22,50,596,4104,1:700,Overstocked,Reduce
S72_1253,"Boeing X-32A JSF",a,4857,960,42692.53,53,640,2372,1:72,Overstocked,Reduce
S32_4485,"1974 Ducati 350 Mk3 Desmo",a,3341,898,84039.24,50,599,4669,1:32,Overstocked,Reduce
S24_2841,"1900s Vintage Bi-Plane",a,5942,940,58434.07,52,627,3246,1:24,Overstocked,Reduce
S700_4002,"American Airlines: MD-11S",a,8820,1085,71753.93,60,723,3986,1:700,Overstocked,Reduce
S24_2972,"1982 Lamborghini Diablo",b,7723,912,30972.87,51,608,1721,1:24,Overstocked,Reduce
S24_4048,"1992 Porsche Cayenne Turbo Silver",b,6582,867,92973.40,48,578,5165,1:24,Overstocked,Reduce
S24_1046,"1970 Chevy Chevelle SS 454",b,1005,803,53236.67,45,535,2958,1:24,Overstocked,Reduce
S24_3191,"1969 Chevrolet Camaro Z28",b,4695,870,67357.30,48,580,3742,1:24,Overstocked,Reduce
S24_2840,"1958 Chevy Corvette Limited Edition",b,2542,983,31627.96,55,655,1757,1:24,Overstocked,Reduce
S24_2887,"1952 Citroen-15CV",b,1452,873,94248.67,49,582,5236,1:24,Overstocked,Reduce
S18_3233,"1985 Toyota Supra",b,7733,0,0.00,0,0,0,1:18,"Never ordered",Reduce
S24_1444,"1970 Dodge Coronet",b,4074,976,50255.45,54,651,2792,1:24,Overstocked,Reduce
S24_3371,"1971 Alpine Renault 1600s",b,7995,969,52339.53,54,646,2908,1:24,Overstocked,Reduce
S24_2766,"1949 Jaguar XK 120",b,2350,949,76670.02,53,633,4259,1:24,Overstocked,Reduce
S24_1628,"1966 Shelby Cobra 427 S/C",b,8197,915,42015.54,51,610,2334,1:24,Overstocked,Reduce
S24_3432,"2002 Chevy Corvette",b,9446,894,87404.81,50,596,4856,1:24,Overstocked,Reduce
S24_1937,"1939 Chevrolet Deluxe Coupe",c,7332,937,28052.94,52,625,1558,1:24,Overstocked,Reduce
S24_2022,"1938 Cadillac V-16 Presidential Limousine",c,2847,955,38449.09,53,637,2136,1:24,Overstocked,Reduce
S50_1341,"1930 Buick Marquette Phaeton",c,7062,1074,41599.24,60,716,2311,1:50,Overstocked,Reduce
S24_3420,"1937 Horch 930V Limousine",c,2902,884,52803.75,49,589,2934,1:24,Overstocked,Reduce
S24_3816,"1940 Ford Delivery Sedan",c,6621,923,71208.18,51,615,3956,1:24,Overstocked,Reduce
S24_3969,"1936 Mercedes Benz 500k Roadster",c,2081,824,29763.39,46,549,1654,1:24,Overstocked,Reduce
S24_3151,"1912 Ford Model T Delivery Wagon",c,9173,991,77239.92,55,661,4291,1:24,Overstocked,Reduce
S24_4258,"1936 Chrysler Airflow",c,4710,983,88434.46,55,655,4913,1:24,Overstocked,Reduce
S700_1938,"The Mayflower",d,737,898,69531.61,50,599,3863,1:700,Overstocked,Reduce
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",d,814,988,57282.49,55,659,3182,1:32,Overstocked,Reduce
S50_1514,"1962 City of Detroit Streetcar",d,1645,966,52123.81,54,644,2896,1:50,Overstocked,Reduce
S700_3962,"The Queen Mary",d,5088,896,78919.06,50,597,4384,1:700,Overstocked,Reduce
S32_3207,"1950's Chicago Surface Lines Streetcar",d,8601,934,53791.99,52,623,2988,1:32,Overstocked,Reduce
S24_2011,"18th century schooner",d,1898,1011,112427.12,56,674,6246,1:24,Overstocked,Reduce
S700_2047,"HMS Bounty",d,3501,897,73298.42,50,598,4072,1:700,Overstocked,Reduce
S24_2300,"1962 Volkswagen Microbus",d,2327,1029,118774.33,57,686,6599,1:24,Overstocked,Reduce
S700_2610,"The USS Constitution Ship",d,7083,1020,66697.13,57,680,3705,1:700,Overstocked,Reduce
S50_1392,"Diamond T620 Semi-Skirted Tanker",d,1016,979,101137.55,54,653,5619,1:50,Overstocked,Reduce
S32_1268,"1980’s GM Manhattan Express",d,5099,911,78067.82,51,607,4337,1:32,Overstocked,Reduce
S700_3505,"The Titanic",d,1956,952,84992.25,53,635,4722,1:700,Overstocked,Reduce
S700_1138,"The Schooner Bluenose",d,1897,934,56455.11,52,623,3136,1:700,Overstocked,Reduce
S32_2509,"1954 Greyhound Scenicruiser",d,2874,955,46519.05,53,637,2584,1:32,Overstocked,Reduce
